t,ax,ay,az
3048,-5.55,-0.54,8.68
7396,-5.46,-0.41,8.68
11756,-5.10,-0.51,7.65
16184,-4.75,-0.51,6.97
20612,-4.47,-0.48,6.83
25028,-4.14,-0.49,6.27
29456,-4.14,-0.54,6.12
33884,-4.37,-0.54,6.79
38312,-4.67,-0.54,7.13
42744,-5.03,-0.42,7.56
47180,-5.34,-0.39,8.10
51612,-5.40,-0.42,8.19
56044,-5.27,-0.44,8.15
60488,-5.14,-0.40,8.11
64924,-4.93,-0.36,7.69
69360,-4.78,-0.55,7.31
73800,-4.78,-0.35,7.64
78228,-5.03,-0.58,7.78
82656,-5.25,-0.50,8.10
87084,-5.44,-0.39,8.52
91516,-5.52,-0.27,8.52
95948,-5.33,-0.43,8.19
100388,-5.26,-0.35,8.18
104884,-5.00,-0.42,7.76
109376,-4.86,-0.53,7.26
113864,-4.63,-0.33,7.02
118348,-4.45,-0.46,6.65
122852,-4.24,-0.47,6.24
127340,-4.32,-0.40,6.53
131828,-4.51,-0.44,6.81
136316,-4.83,-0.34,7.33
140808,-5.16,-0.36,7.87
145308,-5.36,-0.41,8.33
149800,-5.34,-0.30,8.20
154280,-5.20,-0.44,7.98
158772,-4.81,-0.51,7.52
163276,-4.66,-0.40,7.07
167760,-4.57,-0.53,7.03
172248,-4.74,-0.40,7.13
176736,-4.85,-0.36,7.48
181232,-4.95,-0.38,7.49
185716,-4.86,-0.42,7.36
190212,-4.68,-0.52,7.33
194708,-4.58,-0.49,7.12
199196,-4.63,-0.50,6.92
203696,-4.64,-0.47,7.20
208180,-4.84,-0.43,7.53
212672,-5.02,-0.43,7.58
217168,-5.19,-0.41,8.07
221660,-5.22,-0.52,8.28
226160,-5.29,-0.33,8.22
230648,-5.21,-0.41,8.25
235140,-5.12,-0.54,8.02
239636,-5.10,-0.57,7.89
244120,-4.97,-0.45,7.83
248620,-4.93,-0.38,7.57
253112,-4.90,-0.56,7.60
257588,-4.86,-0.47,7.44
262084,-4.77,-0.44,7.31
266572,-4.64,-0.44,6.89
271068,-4.50,-0.47,6.86
275560,-4.47,-0.41,6.82
280060,-4.48,-0.42,6.69
284556,-4.34,-0.52,6.69
289048,-4.45,-0.45,6.92
293540,-4.66,-0.50,7.20
298032,-4.92,-0.46,7.60
302520,-5.25,-0.36,8.16
307020,-5.36,-0.39,8.32
311504,-5.34,-0.31,8.25
316000,-5.24,-0.37,8.22
320500,-4.99,-0.44,7.68
324996,-4.74,-0.44,7.33
329500,-4.63,-0.58,7.04
333988,-4.62,-0.39,6.99
338472,-4.54,-0.51,6.88
342980,-4.43,-0.46,6.76
347468,-4.44,-0.44,6.88
351968,-4.51,-0.51,6.82
356460,-4.61,-0.42,7.01
360952,-4.78,-0.54,7.46
