t,ax,ay,az
3044,-4.48,-0.48,6.96
7388,-4.48,-0.43,7.20
11744,-4.62,-0.40,7.31
16180,-4.59,-0.42,7.36
20612,-4.47,-0.39,7.07
25036,-4.36,-0.32,7.02
29456,-4.19,-0.26,6.62
33876,-3.98,-0.43,6.16
38300,-3.81,-0.40,6.01
42716,-3.74,-0.45,5.95
47148,-3.80,-0.53,6.01
51572,-3.98,-0.51,6.42
55996,-4.30,-0.45,7.21
60432,-4.65,-0.61,7.70
64864,-5.07,-0.53,8.56
69280,-5.37,-0.51,9.33
73716,-5.63,-0.60,9.79
78140,-5.82,-0.52,10.12
82624,-5.85,-0.52,10.35
87108,-5.77,-0.50,9.97
91524,-5.45,-0.54,9.50
95952,-5.15,-0.54,9.04
100384,-4.98,-0.57,8.51
104884,-4.65,-0.45,7.82
109376,-4.50,-0.54,7.72
113856,-4.40,-0.57,7.41
118344,-4.32,-0.53,7.27
122848,-4.39,-0.46,7.37
127344,-4.42,-0.53,7.43
131848,-4.52,-0.54,7.66
136344,-4.53,-0.48,7.82
140832,-4.51,-0.47,7.60
145328,-4.29,-0.51,7.42
149820,-3.99,-0.53,6.95
154316,-3.84,-0.45,6.50
158804,-3.72,-0.47,6.18
163300,-3.48,-0.43,5.86
167792,-3.45,-0.33,5.75
172276,-3.50,-0.34,5.90
176752,-3.59,-0.43,6.16
181252,-3.81,-0.35,6.69
185748,-4.15,-0.33,7.21
190260,-4.44,-0.36,7.84
194744,-4.61,-0.37,8.15
199236,-4.63,-0.40,8.36
203732,-4.67,-0.53,8.35
208240,-4.51,-0.53,8.26
212740,-4.56,-0.57,8.37
217240,-4.85,-0.62,8.82
221732,-5.04,-0.61,9.10
226240,-5.23,-0.46,9.58
230728,-5.29,-0.69,9.66
235236,-5.01,-0.64,9.25
239728,-4.84,-0.65,8.88
244228,-4.44,-0.89,8.32
248732,-4.24,-0.47,7.78
253224,-4.04,-0.68,7.53
257724,-4.02,-0.92,7.51
262216,-4.04,-0.45,7.45
266708,-4.14,-0.58,7.48
271208,-4.17,-0.46,7.51
275712,-3.98,-0.28,7.22
280188,-3.84,-0.61,7.31
284696,-3.68,-0.68,6.85
289192,-3.71,-0.62,6.94
293700,-3.99,-0.78,7.47
298188,-4.33,-0.57,8.15
302672,-4.74,-0.61,8.94
307188,-4.92,-0.62,9.48
311680,-5.04,-0.45,9.76
316168,-5.14,-0.67,9.97
320660,-5.00,-0.52,9.65
325136,-4.82,-0.54,9.52
329648,-4.70,-0.69,9.20
334124,-4.58,-0.58,9.12
338632,-4.49,-0.68,8.78
343128,-4.47,-0.70,8.66
347624,-4.55,-0.96,8.57
352120,-4.30,-0.39,7.94
356616,-4.21,-0.64,8.62
361108,-3.89,-0.47,7.56
365608,-3.58,-0.70,6.98
370092,-3.54,-0.51,6.85
374588,-3.50,-0.58,6.46
379072,-3.63,-0.79,7.04
383560,-3.87,-0.28,7.69
388060,-4.02,-0.57,7.61
392560,-4.14,-0.59,7.86
397060,-4.07,-0.53,8.09
401544,-4.13,-0.71,8.06
406040,-4.21,-0.68,8.40
410540,-4.36,-0.50,8.70
415008,-4.51,-0.57,8.75
419504,-4.55,-0.63,8.89
423996,-4.49,-0.63,8.76
428492,-4.35,-0.80,8.63
432992,-4.27,-0.70,8.57
437472,-4.32,-0.59,8.51
441960,-4.24,-0.60,8.34
446456,-4.23,-0.49,8.20
450952,-4.04,-0.56,7.86
455452,-3.91,-0.64,7.67
459940,-3.81,-0.60,7.56
464432,-3.77,-0.65,7.38
468940,-3.78,-0.64,7.53
473420,-3.94,-0.57,7.80
477908,-4.08,-0.56,7.85
482400,-4.17,-0.66,8.19
486900,-4.25,-0.62,8.55
491396,-4.20,-0.66,8.37
495892,-4.26,-0.63,8.40
500384,-4.17,-0.48,8.29
504884,-3.88,-0.62,7.67
509388,-3.69,-0.77,7.42
513896,-3.68,-0.63,7.52
518388,-3.74,-0.67,7.49
522884,-3.97,-0.70,7.95
527344,-4.30,-0.45,8.61
531832,-4.46,-0.53,8.87
536332,-4.55,-0.63,8.85
540820,-4.39,-0.52,8.74
545308,-4.14,-0.57,8.24
549820,-3.93,-0.73,7.90
554304,-3.87,-0.69,7.67
558804,-3.83,-0.74,7.70
563304,-3.93,-0.71,7.81
567804,-4.03,-0.67,7.87
572304,-4.16,-0.58,8.30
576796,-4.27,-0.54,8.48
581292,-4.28,-0.43,8.47
585784,-4.21,-0.46,8.43
590284,-4.13,-0.58,8.15
594792,-3.86,-0.58,7.83
599284,-3.71,-0.66,7.54
603780,-3.72,-0.63,7.41
608296,-3.71,-0.64,7.35
612788,-3.74,-0.56,7.39
617296,-3.74,-0.61,7.32
621780,-3.70,-0.59,7.31
626260,-3.54,-0.47,7.14
630756,-3.60,-0.45,7.17
635256,-3.60,-0.47,7.25
639752,-3.64,-0.62,7.29
644256,-3.80,-0.65,7.60
648736,-3.93,-0.71,7.88
653244,-4.09,-0.70,8.32
657728,-4.36,-0.62,8.97
662224,-4.55,-0.72,9.35
666716,-4.66,-0.61,9.54
671208,-4.69,-0.47,9.59
675708,-4.62,-0.68,9.67
680200,-4.53,-0.70,9.37
684688,-4.52,-0.66,9.39
689188,-4.65,-0.73,9.43
693688,-4.53,-0.53,9.13
698200,-4.36,-0.54,8.85
702692,-4.16,-0.77,8.59
707188,-4.12,-0.77,8.40
711692,-4.17,-0.66,8.47
716184,-4.33,-0.50,8.64
720692,-4.36,-0.49,8.70
725176,-4.43,-0.74,9.08
729660,-4.55,-0.83,9.44
734164,-4.73,-0.80,9.92
738648,-5.18,-0.68,10.64
743200,-5.22,-0.44,10.59
747752,-5.04,-0.74,10.39
752296,-4.86,-1.05,10.32
756852,-4.79,-0.68,10.10
761392,-5.08,-0.91,10.78
765940,-6.05,-1.75,12.96
770496,-6.91,-1.18,14.50
775052,-7.94,-1.20,16.01
779596,-8.54,-2.43,17.71
784160,-10.20,-5.08,23.45
788744,-13.21,-4.67,30.31
793360,-21.96,-17.40,60.37
798000,-73.37,27.50,78.45
802656,-30.57,43.38,-23.14
807304,-28.08,-56.59,78.45
811972,21.80,11.03,46.00
816564,56.68,33.34,-78.45
821188,50.38,-28.24,-63.75
825812,68.06,4.70,-78.45
830384,78.45,41.74,-78.45
835008,53.71,-30.62,-63.34
839640,36.55,-24.48,-3.98
844204,21.90,28.40,-62.72
848824,-22.56,-14.13,73.15
853484,-52.56,-20.92,78.45
858152,-62.35,34.64,78.45
862796,-72.02,-5.93,78.45
867396,-78.45,-19.02,78.45
872040,-53.06,19.93,78.45
876688,-31.31,-10.83,52.09
881344,-8.54,-15.11,41.96
885956,26.82,25.29,-36.61
890576,51.67,-2.13,-78.45
895164,59.16,-14.32,-78.45
899792,62.47,16.43,-78.45
904412,68.16,0.65,-78.45
908968,43.39,-13.78,-62.14
913600,17.62,13.73,-2.98
918152,2.62,-1.84,-35.89
922684,-24.87,-16.28,49.94
927344,-59.95,9.49,78.45
931936,-60.18,1.86,78.45
936520,-68.10,-13.23,78.45
941188,-69.27,13.94,78.45
945836,-40.19,-3.48,59.70
950440,-17.93,-5.84,32.03
955032,-3.23,10.09,56.52
959632,35.24,-5.37,-73.03
964200,51.44,-3.39,-78.45
968776,52.46,8.26,-71.22
973324,62.08,-5.82,-78.45
977908,56.85,-4.68,-78.45
982488,29.98,8.82,-25.40
987064,14.17,-3.32,-21.69
991648,-8.06,-2.71,3.35
996152,-34.79,8.45,78.45
1000748,-55.10,-7.08,78.45
1005408,-60.94,-3.86,78.45
1010064,-65.24,4.21,78.45
1014720,-54.13,-5.47,78.45
1019380,-28.70,-0.93,49.57
1024048,-11.16,6.66,27.17
1028684,12.65,-6.20,-8.52
1033268,34.01,-2.46,-63.51
1037908,49.81,6.36,-78.45
1042552,52.69,-3.87,-78.45
1047196,52.90,-1.98,-78.45
1051840,42.85,4.75,-78.45
1056484,17.94,-2.98,-14.88
1061124,0.40,-4.18,7.29
1065668,-20.99,2.85,30.37
1070324,-42.84,2.19,78.45
1074984,-56.74,-5.59,78.45
1079624,-56.99,0.23,78.45
1084268,-57.59,0.09,78.45
